Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Luxembourg,Europe,227528,1052,,,,,,Malawi,1993981,2,"Janssen - Ad26.COV 2-S,SII - Covishield"
Madagascar,Africa,64089,1390,,,,,,Malaysia,68946956,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Malawi,Africa,85713,2628,,,,,,Maldives,937148,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Malaysia,Asia,4352611,35363,,,,,,Mali,1941434,1,SII - Covishield
Maldives,Asia,178320,298,,,,,,Malta,1206531,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Mali,Africa,30602,729,,,,,,Marshall Islands,57421,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Malta,Europe,87441,669,,,,,,Martinique,377634,1,Pfizer BioNTech - Comirnaty
Marshall Islands,Oceania,4,0,,,,,,Mauritania,2118211,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Martinique,,148332,918,,,,,,Mauritius,2494317,3,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield"
Mauritania,Africa,58679,982,,,,,,Mexico,194095557,7,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Mauritius,Africa,218229,990,,,,,,Micronesia (Federated States of),110099,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Mayotte,,36958,187,,,,,,Monaco,65140,1,Pfizer BioNTech - Comirnaty
Mexico,America,5723862,323805,,,,,,Mongolia,5596880,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Micronesia (Federated States of),Oceania,0,0,,,,,,Montenegro,528291,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Monaco,Europe,11299,56,,,,,,Montserrat,4229,1,AstraZeneca - Vaxzevria
Mongolia,Asia,920119,2108,,,,,,Morocco,54379321,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Montenegro,Europe,233901,2708,,,,,,Mozambique,9881136,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
