Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED_NAME
Afghanistan,Asia,178332,7676,Andaman and Nicobar Islands,10034,0,9905,129,Afghanistan,5948889,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Albania,Europe,274320,3494,Andhra Pradesh,2319617,33,2304854,14730,Albania,2815381,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Algeria,Africa,265731,6874,Arunachal Pradesh,64495,8,64191,296,Algeria,0,4,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac"
American Samoa,,5536,18,Assam,724200,1351,716210,6639,American Samoa,97346,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Andorra,Europe,40709,153,Bihar,830495,8,818231,12256,Andorra,152301,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Angola,Africa,99194,1900,Chandigarh,91951,18,90768,1165,Angola,18756893,1,SII - Covishield
Anguilla,America,2731,9,Chhattisgarh,1152214,32,1138148,14034,Anguilla,23126,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Antigua and Barbuda,America,7523,135,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4,Antigua and Barbuda,135516,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Argentina,America,9056203,128285,Delhi,1866881,814,1839909,26158,Argentina,97576836,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Armenia,Europe,422721,8621,Goa,245350,18,241500,3832,Armenia,2141957,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated"
Aruba,America,34264,212,Gujarat,1224116,156,1213018,10942,Aruba,169887,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Australia,Oceania,5019012,6648,Haryana,986259,580,975062,10617,Australia,56587064,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty"
Austria,Europe,4065541,16158,Himachal Pradesh,284660,53,280473,4134,Austria,18216194,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Azerbaijan,Europe,792305,9704,Jammu and Kashmir,453909,77,449082,4750,Azerbaijan,13421400,4,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Bahamas,America,33366,789,Jharkhand,435169,9,429845,5315,Bahamas,335729,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bahrain,Asia,561525,1473,Karnataka,3946176,1480,3904639,40057,Bahrain,3430347,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Bangladesh,Asia,1952197,29124,Kerala,6536421,2982,6465037,68402,Bangladesh,254509409,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Barbados,America,62968,379,Ladakh,28238,13,27997,228,Barbados,361133,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Belarus,Europe,971649,6885,Lakshadweep,11402,0,11350,52,Belarus,11778178,2,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac"
